frame,teaching_style,slidesarea,studentsarea,pointingslides,lookingstudents,computerarea,whiteboardarea,facingstudents
501,Active Gesturing,0,1,0,0,0,0,1
502,Active Gesturing,0,1,0,0,0,0,1
503,Active Gesturing,0,1,0,0,0,0,1
504,Active Gesturing,0,1,0,0,0,0,1
505,Active Gesturing,0,1,0,0,0,0,1
506,Active Gesturing,0,1,0,0,0,0,1
507,Active Gesturing,0,1,0,0,0,0,1
508,Active Gesturing,0,1,0,0,0,0,1
509,Passive Teaching,0,1,0,0,0,0,1
510,Passive Teaching,0,1,0,0,0,0,1
511,Passive Teaching,0,1,0,0,0,0,1
512,Passive Teaching,0,1,0,0,0,0,1
513,Passive Teaching,0,1,0,0,0,0,1
514,Passive Teaching,0,1,0,0,0,0,1
515,Passive Teaching,0,1,0,0,0,0,1
516,Passive Teaching,0,1,0,0,0,0,1
517,Passive Teaching,0,1,0,0,0,0,1
518,Passive Teaching,0,1,0,0,0,0,1
519,Passive Teaching,0,1,0,0,0,0,1
520,Passive Teaching,0,1,0,0,0,0,1
521,Passive Teaching,0,1,0,0,0,0,1
522,Passive Teaching,0,1,0,0,0,0,1
523,Passive Teaching,0,1,0,0,0,0,1
524,Passive Teaching,0,1,0,0,0,0,1
525,Passive Teaching,0,1,0,0,0,0,1
526,Passive Teaching,0,1,0,0,0,0,1
527,Passive Teaching,0,1,0,0,0,0,1
528,Passive Teaching,0,1,0,0,0,0,1
529,Passive Teaching,0,1,0,0,0,0,1
530,Passive Teaching,0,1,0,0,0,0,1
531,Passive Teaching,0,1,0,0,0,0,1
532,Passive Teaching,0,1,0,0,0,0,1
533,Passive Teaching,0,1,0,0,0,0,1
534,Passive Teaching,0,1,0,0,0,0,1
535,Passive Teaching,0,1,0,0,0,0,1
536,Passive Teaching,0,1,0,0,0,0,1
537,Passive Teaching,0,1,0,0,0,0,1
538,Passive Teaching,0,1,0,0,0,0,1
539,Passive Teaching,0,1,0,0,0,0,1
540,Passive Teaching,0,1,0,0,0,0,1
541,Passive Teaching,0,1,0,0,0,0,1
542,Passive Teaching,0,1,0,0,0,0,1
543,Passive Teaching,0,1,0,0,0,0,1
544,Passive Teaching,0,1,0,0,0,0,1
545,Passive Teaching,0,1,0,0,0,0,1
546,Passive Teaching,0,1,0,0,0,0,1
547,Passive Teaching,0,1,0,1,0,0,1
548,Passive Teaching,0,1,0,1,0,0,1
549,Passive Teaching,0,1,0,1,0,0,1
550,Passive Teaching,0,1,0,1,0,0,1
551,Passive Teaching,0,1,0,1,0,0,1
552,Passive Teaching,0,1,0,1,0,0,1
553,Passive Teaching,0,1,0,1,0,0,1
554,Passive Teaching,0,1,0,1,0,0,1
555,Active Gesturing,0,1,0,1,0,0,0
556,Active Gesturing,0,1,0,1,0,0,0
557,Active Gesturing,0,1,0,0,0,0,0
558,Active Gesturing,0,1,0,0,0,0,0
559,Active Gesturing,0,1,0,1,0,0,0
560,Active Gesturing,0,1,0,1,0,0,0
561,Active Gesturing,0,1,0,1,0,0,0
562,Active Gesturing,0,1,0,1,0,0,0
563,Active Gesturing,0,1,0,1,0,0,0
564,Active Gesturing,0,1,0,1,0,0,0
565,Active Gesturing,0,1,0,1,0,0,0
566,Active Gesturing,0,1,0,0,0,0,1
567,Active Gesturing,0,1,0,0,0,0,1
568,Active Gesturing,0,1,0,0,0,0,1
569,Active Gesturing,0,1,0,0,0,0,1
570,Active Gesturing,0,1,0,0,0,0,1
571,Active Gesturing,0,1,0,0,0,0,1
572,Active Gesturing,0,1,0,0,0,0,1
573,Active Gesturing,0,1,0,0,0,0,1
574,Active Gesturing,0,1,0,1,0,0,1
